Question,5a70d87e9cdd180001776440: pretest,5a70d87e9cdd180001776440: posttest,5a18820d9b760100013a8429: pretest,5a18820d9b760100013a8429: posttest
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,I don't know.,eye,1.00 / 1,1.00 / 1
Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,5,,I don't know.,
What is the term for the total kinetic energy of moving particles of matter?,mechanical energy,,I don't know.,
"What arises due to crossing over, independent assortment, and the random union of gametes?",I don't know.,I don't know.,I don't know.,I don't know.
"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",1.00 / 1,,natty,
Which fire extinguishers are used to put out fires caused by flammable liquids?,I don't know.,,I don't know.,
What broad group of animals are the first true tetrapods?,,1.00 / 1,,reptiles
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,,1.00 / 1,,1.00 / 1
"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.",,1.00 / 1,,"i, iii, iv, ii"
What should you NOT do while lifting objects?,,Bend at the knees,,1.00 / 1
"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",,1.00 / 1,,I don't know.
Which fire extinguishers are used to put out Class A fires?,,CO2 only,,Both CO2 and water
The new lecture hall's _____ design reflected the architect's minimalist influences.,,1.00 / 1,,1.00 / 1
"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",,1.00 / 1,,I don't know.
"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",,1.00 / 1,,endemic
"Emmet Ray, a fictional jazz guitarist in Woody Allen's film Sweet and Lowdown, is a paradoxical character; while he displays sophisticated musical artistry, his personality is typically _____ .",,1.00 / 1,,elegant
"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",,1.00 / 1,,I don't know.
What is the correct method for saving someone from choking?,,Abdominal thrusts only,,1.00 / 1
"True or false: when someone swallows a chemical, immediately have the person drink water and then induce vomiting.",,1.00 / 1,,1.00 / 1
Sensory nerves carry nerve impulses from sensory receptors to what system?,,1.00 / 1,,1.00 / 1
What is the most common symptom of a heart attack?,,1.00 / 1,,1.00 / 1
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",,1.00 / 1,,conditional factors
What should you do if you are unable to evacuate a burning building?,,1.00 / 1,,1.00 / 1
The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,,1.00 / 1,,invaluable
How often should women perform a breast self-exam?,,quarterly,,yearly
"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",,prescience,,I don't know.
Anything moving has what type of energy?,,1.00 / 1,,1.00 / 1
"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",,1.00 / 1,,I don't know.
"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",,1.00 / 1,,surface
"When using a ladder to climb a roof, the ladder must extend at least___ above it.",,18,,I don't know.
Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,,1.00 / 1,,exasperation
Most insects reproduce quickly and through what type of reproduction?,,asexual reproduction,,asexual reproduction
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",,1.00 / 1,,oceanic activity
"Everyone is at a risk of contracting a food-borne illness. However, who are at a greater risk of falling ill or even dying of infection?",,1.00 / 1,,1.00 / 1
"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",,1.00 / 1,,mischievousness
The lithosphere is divided into a dozen major and several minor what?,,1.00 / 1,,zones
What does CERT stand for?,,I don't know.,,1.00 / 1
"Which organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",,1.00 / 1,,1.00 / 1
Seth was extremely _____ and did not enjoy activities that required effort to meet new people.,,1.00 / 1,,1.00 / 1
"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",,1.00 / 1,,I don't know.
True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,,True,,1.00 / 1
What cells are the basis of nervous tissue?,,1.00 / 1,,I don't know.
What are classified by climatic factors and types of primary producers?,,1.00 / 1,,I don't know.
Insistent Answers,2,,6,
