id,question,correct_rate
42,"What arises due to crossing over, independent assortment, and the random union of gametes?",0.328571429
65,What does CERT stand for?,0.157142857
21,What living species of bird is considered the largest of the raptors?,0.085714286
138,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",0.528571429
90,True or false: the primary function of a fire door is to exit a building in case of fire.,0.3
130,The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.,0.8
75,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,0.771428571
69,What is the minimum distance that should separate a parked forklift from a railroad junction?,0.028571429
50,"If your co-worker needs CPR but you are not trained in it, what should you do?",0.157142857
66,"Everyone is at a risk of contracting a food-borne illness. However, who are at a greater risk of falling ill or even dying of infection?",0.871428571
68,Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.,0.057142857
135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",0.7
93,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",0.6
136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",0.3
19,The electrode at which oxidation occurs is called the what?,0.1
72,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",0.942857143
16,Sensory nerves carry nerve impulses from sensory receptors to what system?,0.771428571
89,Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,0.042857143
47,What cells are the basis of nervous tissue?,0.471428571
99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,0.142857143
112,"Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor.",0.585714286
79,True or false: portable fire extinguishers should only be used by trained employees.,0.242857143
62,"True or false: when someone swallows a chemical, immediately have the person drink water and then induce vomiting.",0.428571429
84,To what does the acronym SLM refer?,0.1
1,What kind of viscosity is found in long-chain hydrocarbons?,0.114285714
56,At what water temperature should you bathe frostbitten skin?,0.128571429
125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",0.2
53,What should you NOT do while treating cuts and scrapes?,0.314285714
9,How do very massive stars end their lives?,0.071428571
58,What is a symptom of a heatstroke?,0.728571429
76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",0.071428571
51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.",0.228571429
104,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,0.314285714
122,"Emmet Ray, a fictional jazz guitarist in Woody Allen's film Sweet and Lowdown, is a paradoxical character; while he displays sophisticated musical artistry, his personality is typically _____ .",0.314285714
14,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",0.342857143
29,What is the term for the total kinetic energy of moving particles of matter?,0.214285714
5,Most insects reproduce quickly and through what type of reproduction?,0.342857143
121,Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.,0.171428571
114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",0.214285714
52,What is the correct method for saving someone from choking?,0.228571429
115,Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.,0.942857143
83,The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?,0.028571429
118,"Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior.",0.8
146,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",0.771428571
100,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",0.842857143
111,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",0.642857143
143,"Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ .",0.885714286
24,"What is a therian mammal in which the embryo is born at an early, immature stage?",0.5
87,Which fire extinguishers are used to put out fires caused by flammable liquids?,0.085714286
46,What are classified by climatic factors and types of primary producers?,0.171428571
30,Nerve cells that sense touch are found mainly where?,0.857142857
127,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,0.685714286
64,How long can high-acid canned food such as tomatoes be stored?,0.185714286
35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,0.342857143
11,Organisms that live deep in the ocean must be able to withstand what?,0.814285714
132,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",0.771428571
43,Myofibrils are long cylindrical structures that lie parallel to and run the entire length of what fibers?,0.157142857
102,One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,0.8
55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).",0.185714286
103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,0.414285714
117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",0.642857143
113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",0.1
73,What is the maximum amount of time perishable food should be left out?,0.257142857
3,How does a neon light produce visible light?,0.342857143
106,"Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning.",0.385714286
6,What is the most abundant metal of the earth's crust?,0.371428571
27,The lithosphere is divided into a dozen major and several minor what?,0.214285714
41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,0.214285714
59,First aid treatment for a chemical burn involves what?,0.471428571
147,"Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service.",0.228571429
141,"Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ .",0.228571429
77,Where should you aim a fire extinguisher nozzle when putting out a fire?,0.771428571
